EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
yes,no,1,no,ARW; KA,no,not-needed,no,no,no,Craig and Larrieu 2006,Control Of Cystic Echinococcosis/Hydatidosis: 1863-2002.,2006,Advances in parasitology,61,,443-508,443,508,66,10.1016/S0065-308X(05)61011-1,16735171,article,no,Author Link,0,"Echinococcosis/hydatidosis, caused by Echinococcus granulosus, is a chronic and debilitating zoonotic larval cestode infection in humans, which is principally transmitted between dogs and domestic livestock, particularly sheep. Human hydatid disease occurs in almost all pastoral communities and rangeland areas of the underdeveloped and developed world. Control programmes against hydatidosis have been implemented in several endemic countries, states, provinces, districts or regions to reduce or eliminate cystic echinococcosis (CE) as a public health problem. This review assesses the impact of 13 of the hydatid control programmes implemented, since the first was introduced in Iceland in 1863. Five island-based control programmes (Iceland, New Zealand, Tasmania, Falklands and Cyprus) resulted, over various intervention periods (from <15 to >50 years), in successful control of transmission as evidenced by major reduction in incidence rates of human CE, and prevalence levels in sheep and dogs. By 2002, two countries, Iceland and New Zealand, and one island-state, Tasmania, had already declared that hydatid disease had been eliminated from their territories. Other hydatid programmes implemented in South America (Argentina, Chile, Uruguay), in Europe (mid-Wales, Sardinia) and in East Africa (northwest Kenya), showed varying degrees of success, but some were considered as having failed. Reasons for the eventual success of certain hydatid control programmes and the problems encountered in others are analysed and discussed, and recommendations for likely optimal approaches considered. The application of new control tools, including use of a hydatid vaccine, are also considered.",not-needed,English,not original data,,,,,,NA,review,Snowballing
no,no,0,yes,,,,,no,,Craig et al. 1996,"Detection, screening and community epidemiology of taeniid cestode zoonoses: cystic echinococcosis, alveolar echinococcosis and neurocysticercosis",1996,Advances in parasitology,38,,169–250,169,250,82,10.1016/S0065-308X(08)60035-4,,Journal Article,no,UGA Library,,,,English,,Data on human,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,ARW,no,no,no,Jenkins et al. 2013,"Tradition And Transition: Parasitic Zoonoses Of People And Animals In Alaska, Northern Canada, And Greenland.",2013,Advances in parasitology,82,,33-204,33,204,172,10.1016/B978-0-12-407706-5.00002-2,23548085,article,no,Author Link,0,"Zoonotic parasites are important causes of endemic and emerging human disease in northern North America and Greenland (the North), where prevalence of some parasites is higher than in the general North American population. The North today is in transition, facing increased resource extraction, globalisation of trade and travel, and rapid and accelerating environmental change. This comprehensive review addresses the diversity, distribution, ecology, epidemiology, and significance of nine zoonotic parasites in animal and human populations in the North. Based on a qualitative risk assessment with criteria heavily weighted for human health, these zoonotic parasites are ranked, in the order of decreasing importance, as follows: Echinococcus multilocularis, Toxoplasma gondii, Trichinella and Giardia, Echinococcus granulosus/canadensis and Cryptosporidium, Toxocara, anisakid nematodes, and diphyllobothriid cestodes. Recent and future trends in the importance of these parasites for human health in the North are explored. For example, the incidence of human exposure to endemic helminth zoonoses (e.g. Diphyllobothrium, Trichinella, and Echinococcus) appears to be declining, while water-borne protozoans such as Giardia, Cryptosporidium, and Toxoplasma may be emerging causes of human disease in a warming North. Parasites that undergo temperature-dependent development in the environment (such as Toxoplasma, ascarid and anisakid nematodes, and diphyllobothriid cestodes) will likely undergo accelerated development in endemic areas and temperate-adapted strains/species will move north, resulting in faunal shifts. Food-borne pathogens (e.g. Trichinella, Toxoplasma, anisakid nematodes, and diphyllobothriid cestodes) may be increasingly important as animal products are exported from the North and tourists, workers, and domestic animals enter the North. Finally, key needs are identified to better assess and mitigate risks associated with zoonotic parasites, including enhanced surveillance in animals and people, detection methods, and delivery and evaluation of veterinary and public health services.",Yes,English,,no E. multi data,,,,,NA,review; no data,Snowballing
no,no,0,yes,,,,,no,,"Kantere M,Athanasiou LV,Chatzopoulos DC,Spyrou V,Valiakos G,Kontos V,Billinis C",Enteric pathogens of dogs and cats with public health implications,2014,American Journal of Animal and Veterinary Sciences,9,2,84–94,84,94,11,10.3844/ajavsp.2014.84.94,,Journal Article,no,Author Link,,,,English,,Not a primary research,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,"Kern P,Giraudoux P,Romig T",Spatial and temporal epidemiology of Echinococcus multilocularis: Results of the European project echinorisk,2005,The American Journal of Tropical Medicine and Hygiene,73,6,28,28,28,1,none,,Journal Article,no,UGA Library,0,,,English,,No epidemiological data,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Schantz 2005,Editorial: The burden of echinococcosis,2005,The American Journal of Tropical Medicine and Hygiene,73,1,1-116,1,116,116,10.4269/ajtmh.2005.73.1.0730001,,Journal Article,no,Author Link,0,,,Italian,,No epidemiological data,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Carvalho-Varela M,Echinococcus multilocularis in the Iberian Peninsula,1986,"Anais da Escola Superior de Medicina Veterinaria, Lisboa",24,,102–17,102,117,16,none,,Journal Article,no,UGA Library,,,,Portuguese,,No epidemiological data,,,,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,CT,yes,yes,no,Worbes et al. 1989,[Echinococcus Multilocularis In A Swamp Beaver (Myocaster Coypus)].,1989,Angewandte Parasitologie,30,3,161-5,161,165,5,none,2817506,article,no,UGA Library,,Larval Echinococcus multilocularis was found in a nutria (Myocastor coypus) on a fur farm situated south of the Thuringian Forest near the border the Federal Republic of Germany. This finding is of epidemiological importance. Investigations of 67 red foxes (Vulpes vulpes) originating from this area and the whole Erfurt Region (Thuringia) did not reveal the presence of adult E. multilocularis.,Yes,German,,,year,EID_232,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Worbes 1992,[The occurrence of Echinococcus granulosis and E. multilocularis in Thuringia],1992,Angewandte Parasitologie,33,4,193-204,193,204,12,none,1456463,article,no,UGA Library,,"The occurrence of E. granulosus and E. multilocularis in the region of Thuringia is reported. Parasitological investigations showed 1421 E. granulosus metacestodes, 91.7% of them in lungs and 1.3% in livers of cattle, 6% in lungs and 1% in livers of pigs; that means an infestation rate at slaughter of 0.1%-0.3% in cattle and 0.001-0.004% or less in pigs resp. 90.1% of the hydatid cysts proved to be fertile even in a size of 1.5 cm diameter. Adult E. granulosus was found post mortem in 2 of 324 dogs. In the period from 1985 to 1988, only â€¦",Yes,German,,,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Losson et al. 1997,Echinococcus multilocularis infection in the red fox (Vulpes vulpes) in the province of Luxembourg (Belgium): Results of a survey conducted between 1993-1995,1997,Annales de Medecine Veterinaire,141,,149,149,149,1,none,,article,no,UGA Library,,,Yes,French,,,,,,,NA,,SystematicSearch
no,no,0,yes,NA,TBD,,yes,No,,Brochier et al. 1992,Prevalence of Echinococcus multilocularis infection in the red fox (Vulpes vulpes) in the province of Luxembourg (Belgium),1992,Annales de Medecine Veterinaire,136,,497-501,497,501,5,none,,article,no,UGA Library,,"Thirteen of 85 V. vulpes collected in the province of Luxemburg, Belgium, between February 1991 and May 1992, were shown to be infected with E. multilocularis. Infection was detected in 3 of 28 fox cubs (in 2 of 9 litters) and 10 of 57 adult foxes. This preliminary survey demonstrated for the first time the occurrence of E. multilocularis infection in Belgium. Because of the high percentage of...",No,French,,,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,Hanosset et al. 2004,Recent data on a current zoonosis: alveolar echinococcus due to Echinococcus multilocularis,2004,Annales de Medecine Veterinaire,148,4,153–67,153,167,15,none,,Journal Article,no,Author Link,0,,,Spanish,,Not a primary research,,,,,NA,,SystematicSearch
yes,no,1,yes,ARW; KA,yes,ARW,yes,yes,no,Boussinesq et al. 1986,[A New Natural Intermediate Host Of Echinococcus Multilocularis In France: The Muskrat (Ondatra Zibethicus L.)].,1986,Annales de parasitologie humaine et comparee,61,4,431-4,431,434,4,10.1051/parasite/1986614431,3545032,article,no,Author Link,0,"The musk rat is a natural intermediate host of Echinococcus multilocularis in the Territoire de Belfort (East France). Its role in a selvatic cycle is discussed. When hunted, it can transmit the parasite to man, through dog infection.",Yes,French,,,year,EID_032,,,NA,,SystematicSearch
